@RELATION test
@ATTRIBUTE rowc NUMERIC 
@ATTRIBUTE colc NUMERIC 
@ATTRIBUTE class {-1,1}

@DATA 
237.118393 , 1833.47205 ,  -1 
238.614502 , 1933.29297 ,  -1 
301.442688 , 106.297203 ,  -1 
296.430908 , 209.8694 ,  -1 
295.036011 , 303.381195 ,  -1 
307.792389 , 393.869598 ,  -1 
307.780609 , 499.884186 ,  -1 
301.695801 , 590.455383 ,  -1 
297.878113 , 681.083923 ,  -1 
298.952087 , 768.331726 ,  -1 
298.690094 , 880.134888 ,  -1 
302.229401 , 966.423828 ,  -1 
302.536285 , 1067.10999 ,  -1 
297.308685 , 1151.776 ,  -1 
299.15921 , 1252.18298 ,  -1 
300.511505 , 1346.61096 ,  -1 
295.5961 , 1444.245 ,  -1 
307.614899 , 1553.953 ,  -1 
304.002991 , 1654.276 ,  -1 
303.821991 , 1751.58899 ,  -1 
296.674988 , 1833.99194 ,  -1 
299.860901 , 1940.28894 ,  -1 
369.094513 , 113.321503 ,  -1 
365.899292 , 215.956696 ,  -1 
364.735687 , 303.931305 ,  -1 
370.050415 , 395.589111 ,  -1 
372.059692 , 486.566193 ,  -1 
369.410614 , 589.591919 ,  -1 
369.220215 , 682.407288 ,  -1 
364.066193 , 774.974487 ,  -1 
370.932404 , 867.515686 ,  -1 
368.85791 , 973.122925 ,  -1 
362.71051 , 1063.354 ,  -1 
366.159698 , 1159.42395 ,  -1 
374.214691 , 1248.16199 ,  -1 
372.002808 , 1350.89697 ,  -1 
370.058197 , 1444.55896 ,  -1 
364.110687 , 1554.43396 ,  -1 
370.995087 , 1639.37903 ,  -1 
367.430908 , 1756.75806 ,  -1 
366.717499 , 1842.36096 ,  -1 
371.086304 , 1949.31995 ,  -1 
434.771088 , 117.888 ,  -1 
438.036407 , 214.670105 ,  -1 
439.601807 , 310.181 ,  -1 
431.390594 , 406.127991 ,  -1 
435.507111 , 500.838287 ,  -1 
434.625702 , 591.624695 ,  -1 
433.845215 , 692.611511 ,  -1 
437.876007 , 787.267822 ,  -1 
435.245087 , 878.682983 ,  -1 
439.070404 , 975.249329 ,  -1 
439.575592 , 1056.87195 ,  -1 
432.05191 , 1156.79395 ,  -1 
442.137299 , 1248.34998 ,  -1 
435.412415 , 1355.17004 ,  -1 
436.508911 , 1462.64197 ,  -1 
429.941498 , 1544.53406 ,  -1 
438.173004 , 1639.47095 ,  -1 
440.468109 , 1754.31006 ,  -1 
431.559509 , 1849.37097 ,  -1 
439.349304 , 1943.39294 ,  -1 
501.171692 , 106.534897 ,  -1 
501.079315 , 208.333496 ,  -1 
505.489685 , 306.871887 ,  -1 
508.490601 , 389.955597 ,  -1 
502.946503 , 488.253601 ,  -1 
507.323608 , 587.373718 ,  -1 
504.304291 , 688.0672 ,  -1 
496.364685 , 768.739929 ,  -1 
498.981995 , 876.422485 ,  -1 
495.997406 , 961.950989 ,  -1 
495.951508 , 1072.58704 ,  -1 
504.055511 , 1159.77698 ,  -1 
503.419891 , 1262.04199 ,  -1 
501.480286 , 1347.82495 ,  -1 
498.032013 , 1446.70898 ,  -1 
502.481201 , 1559.38306 ,  -1 
500.904907 , 1644.07898 ,  -1 
502.904388 , 1753.61694 ,  -1 
507.468994 , 1848.56299 ,  -1 
508.075714 , 1940.15601 ,  -1 
568.973877 , 121.686798 ,  -1 
560.951294 , 218.117798 ,  -1 
572.098694 , 315.565399 ,  -1 
562.411194 , 396.398102 ,  -1 
569.322083 , 501.9487 ,  -1 
560.611084 , 582.794678 ,  -1 
562.348877 , 680.582703 ,  -1 
560.732971 , 786.430725 ,  -1 
570.731079 , 866.205811 ,  -1 
562.123779 , 969.016174 ,  -1 
567.077881 , 1058.58801 ,  -1 
573.802124 , 1161.04199 ,  -1 
567.5448 , 1258.86499 ,  -1 
573.421692 , 1357.70996 ,  -1 
564.998596 , 1448.08801 ,  -1 
562.325317 , 1555.52905 ,  -1 
566.377625 , 1654.74902 ,  -1 
563.898071 , 1741.828 ,  -1 
560.260376 , 1850.88696 ,  -1 
567.987 , 1945.05298 ,  -1 
636.070923 , 115.2313 ,  -1 
636.303894 , 211.371094 ,  -1 
642.981323 , 309.345886 ,  -1 
632.832275 , 396.250488 ,  -1 
641.109375 , 485.474915 ,  -1 
633.290222 , 595.407227 ,  -1 
636.776428 , 688.846313 ,  -1 
634.914001 , 773.236084 ,  -1 
634.890015 , 878.292297 ,  -1 
642.470581 , 958.775513 ,  -1 
642.134216 , 1058.19702 ,  -1 
639.253784 , 1157.91895 ,  -1 
632.094116 , 1260.28003 ,  -1 
641.676514 , 1355.63306 ,  -1 
636.079895 , 1456.13098 ,  -1 
633.604797 , 1542.85498 ,  -1 
639.948486 , 1649.29297 ,  -1 
