118, 1657, 1073, 1.0, 1.0, 1.0
119, 1663, 1075, 1.0, 1.0, 1.0
120, 1671, 1077, 1.0, 1.0, 1.0
121, 1679, 1079, 1.0, 1.0, 1.0
122, 1686, 1081, 1.0, 1.0, 1.0
123, 1694, 1083, 1.0, 1.0, 1.0
124, 1701, 1085, 1.0, 1.0, 1.0
125, 1712, 1087, 1.0, 1.0, 1.0
126, 1720, 1089, 1.0, 1.0, 1.0
127, 1728, 1091, 1.0, 1.0, 1.0
128, 1736, 1093, 1.0, 1.0, 1.0
129, 1744, 1096, 1.0, 1.0, 1.0
130, 1751, 1098, 1.0, 1.0, 1.0
131, 1758, 1100, 1.0, 1.0, 1.0
132, 1766, 1102, 1.0, 1.0, 1.0
133, 1773, 1104, 1.0, 1.0, 1.0
134, 1780, 1106, 1.0, 1.0, 1.0
135, 1789, 1108, 1.0, 1.0, 1.0
136, 1805, 1110, 1.0, 1.0, 1.0
137, 1813, 1112, 1.0, 1.0, 1.0
138, 1822, 1114, 1.0, 1.0, 1.0
139, 1832, 1116, 1.0, 1.0, 1.0
140, 1854, 1121, 1.0, 1.0, 1.0
141, 1863, 1127, 1.0, 1.0, 1.0
142, 1874, 1132, 1.0, 1.0, 1.0
143, 1883, 1135, 1.0, 1.0, 1.0
144, 1892, 1138, 1.0, 1.0, 1.0
145, 1901, 1141, 1.0, 1.0, 1.0
146, 1909, 1144, 1.0, 1.0, 1.0
147, 1921, 1146, 1.0, 1.0, 1.0
148, 1929, 1148, 1.0, 1.0, 1.0
149, 1937, 1151, 1.0, 1.0, 1.0
150, 1946, 1154, 1.0, 1.0, 1.0
151, 1954, 1157, 1.0, 1.0, 1.0
152, 1962, 1159, 1.0, 1.0, 1.0
153, 1969, 1161, 1.0, 1.0, 1.0
154, 1977, 1163, 1.0, 1.0, 1.0
155, 1984, 1165, 1.0, 1.0, 1.0
156, 1991, 1167, 1.0, 1.0, 1.0
157, 1998, 1172, 1.0, 1.0, 1.0
158, 2006, 1183, 1.0, 1.0, 1.0
159, 2015, 1194, 1.0, 1.0, 1.0
160, 2024, 1205, 1.0, 1.0, 1.0
161, 2035, 1216, 1.0, 1.0, 1.0
162, 2047, 1227, 1.0, 1.0, 1.0
163, 2057, 1239, 1.0, 1.0, 1.0
164, 2065, 1251, 1.0, 1.0, 1.0
165, 2073, 1266, 1.0, 1.0, 1.0
166, 2084, 1279, 1.0, 1.0, 1.0
167, 2090, 1293, 1.0, 1.0, 1.0
168, 2097, 1305, 1.0, 1.0, 1.0
169, 2107, 1316, 1.0, 1.0, 1.0
170, 2113, 1327, 1.0, 1.0, 1.0
171, 2123, 1335, 1.0, 1.0, 1.0
172, 2131, 1341, 1.0, 1.0, 1.0
173, 2138, 1348, 1.0, 1.0, 1.0
174, 2146, 1359, 1.0, 1.0, 1.0
175, 2154, 1367, 1.0, 1.0, 1.0
176, 2164, 1381, 1.0, 1.0, 1.0
177, 2175, 1396, 1.0, 1.0, 1.0
178, 2192, 1412, 1.0, 1.0, 1.0
179, 2208, 1429, 1.0, 1.0, 1.0
180, 2234, 1447, 1.0, 1.0, 1.0
181, 2252, 1463, 1.0, 1.0, 1.0
182, 2266, 1483, 1.0, 1.0, 1.0
183, 2287, 1501, 1.0, 1.0, 1.0
184, 2308, 1517, 1.0, 1.0, 1.0
185, 2335, 1535, 1.0, 1.0, 1.0
186, 2358, 1552, 1.0, 1.0, 1.0
187, 2375, 1569, 1.0, 1.0, 1.0
188, 2394, 1584, 1.0, 1.0, 1.0
189, 2408, 1600, 1.0, 1.0, 1.0
